external_urls,href,id,name,type,uri
"{""spotify"": ""https://open.spotify.com/artist/1CdLG4i1rTEOsex2UE0jCH""}",https://api.spotify.com/v1/artists/1CdLG4i1rTEOsex2UE0jCH,1CdLG4i1rTEOsex2UE0jCH,Nacha Pop,artist,spotify:artist:1CdLG4i1rTEOsex2UE0jCH
"{""spotify"": ""https://open.spotify.com/artist/1FCItwxfRieMGhR0eRxotU""}",https://api.spotify.com/v1/artists/1FCItwxfRieMGhR0eRxotU,1FCItwxfRieMGhR0eRxotU,Rich Vagos,artist,spotify:artist:1FCItwxfRieMGhR0eRxotU
"{""spotify"": ""https://open.spotify.com/artist/1Fhcsda9LHOapGEZpOoAEj""}",https://api.spotify.com/v1/artists/1Fhcsda9LHOapGEZpOoAEj,1Fhcsda9LHOapGEZpOoAEj,Ilegalez,artist,spotify:artist:1Fhcsda9LHOapGEZpOoAEj
"{""spotify"": ""https://open.spotify.com/artist/1GAymyGBvB4gQy5Z5LZ1Wj""}",https://api.spotify.com/v1/artists/1GAymyGBvB4gQy5Z5LZ1Wj,1GAymyGBvB4gQy5Z5LZ1Wj,Lalo Ebratt,artist,spotify:artist:1GAymyGBvB4gQy5Z5LZ1Wj
"{""spotify"": ""https://open.spotify.com/artist/1GDbiv3spRmZ1XdM1jQbT7""}",https://api.spotify.com/v1/artists/1GDbiv3spRmZ1XdM1jQbT7,1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,artist,spotify:artist:1GDbiv3spRmZ1XdM1jQbT7
"{""spotify"": ""https://open.spotify.com/artist/1JHgX0v8Dx86wpfQkZuJFg""}",https://api.spotify.com/v1/artists/1JHgX0v8Dx86wpfQkZuJFg,1JHgX0v8Dx86wpfQkZuJFg,Noreh,artist,spotify:artist:1JHgX0v8Dx86wpfQkZuJFg
"{""spotify"": ""https://open.spotify.com/artist/1JbemQ1fPt2YmSLjAFhPBv""}",https://api.spotify.com/v1/artists/1JbemQ1fPt2YmSLjAFhPBv,1JbemQ1fPt2YmSLjAFhPBv,Chayanne,artist,spotify:artist:1JbemQ1fPt2YmSLjAFhPBv
"{""spotify"": ""https://open.spotify.com/artist/1LFSjjDBhaukmZa69zJvgM""}",https://api.spotify.com/v1/artists/1LFSjjDBhaukmZa69zJvgM,1LFSjjDBhaukmZa69zJvgM,Macrodee,artist,spotify:artist:1LFSjjDBhaukmZa69zJvgM
"{""spotify"": ""https://open.spotify.com/artist/1M178YgtiCeHDjjHFBQgWA""}",https://api.spotify.com/v1/artists/1M178YgtiCeHDjjHFBQgWA,1M178YgtiCeHDjjHFBQgWA,V.Rod,artist,spotify:artist:1M178YgtiCeHDjjHFBQgWA
"{""spotify"": ""https://open.spotify.com/artist/1M3oDOCXXZVkIlXPp5gAKd""}",https://api.spotify.com/v1/artists/1M3oDOCXXZVkIlXPp5gAKd,1M3oDOCXXZVkIlXPp5gAKd,BCN,artist,spotify:artist:1M3oDOCXXZVkIlXPp5gAKd
"{""spotify"": ""https://open.spotify.com/artist/1MLs9allBZrajb5Dc4146L""}",https://api.spotify.com/v1/artists/1MLs9allBZrajb5Dc4146L,1MLs9allBZrajb5Dc4146L,3BallMTY,artist,spotify:artist:1MLs9allBZrajb5Dc4146L
"{""spotify"": ""https://open.spotify.com/artist/1NNRWkhwmcXRimFYSBpB1y""}",https://api.spotify.com/v1/artists/1NNRWkhwmcXRimFYSBpB1y,1NNRWkhwmcXRimFYSBpB1y,Yng Lvcas,artist,spotify:artist:1NNRWkhwmcXRimFYSBpB1y
