id,played_at
2HCeXi8UG0lTN5T7PvgaGs,2018-01-18T19:48:23Z
5WTGI9ChtTWEyqHUwyYzDI,2018-01-18T19:51:54Z
31kVlP84trBZot6zvSGwPf,2018-01-18T19:54:40Z
7l6DilARDQgj7HLgQ9lAN4,2018-01-18T21:56:44Z
31kVlP84trBZot6zvSGwPf,2018-01-18T21:56:46Z
7l6DilARDQgj7HLgQ9lAN4,2018-01-18T22:01:41Z
1M6m3xfwinMZQ2ZvpgyoJz,2018-01-18T22:05:57Z
70UaWpMdFS0OtFQWC48Klj,2018-01-18T22:10:15Z
28l6xJuFdnX5NvlvOZtQK9,2018-01-18T22:12:50Z
0vZS0G95p05nhZp52wt0zd,2018-01-18T22:16:19Z
5ReF8af2s5RBIve3JvWxI6,2018-01-18T22:20:19Z
1GUK48Vm37ng2jwxWjWb4z,2018-01-18T22:23:49Z
4LFGnKNI6CU8jYkQoMNgDt,2018-01-18T22:28:43Z
6nFlDEIS4a6KflpLuqavKX,2018-01-18T22:32:51Z
3sb6NagmHdUeFIH02QIqrq,2018-01-18T22:36:17Z
5kVSgCk38ebsalKQZQqSLv,2018-01-18T22:40:09Z
7esOHMVot1TmGrXM6o7Ewt,2018-01-18T22:44:14Z
62wcTLbFPXnGKdHNYCnax5,2018-01-18T22:47:08Z
4dvbHCDd2mqwgVeEZ5VTFh,2018-01-18T22:50:06Z
1TGL0zcPzuqwFP60lNsjsm,2018-01-18T22:54:17Z
6UnyyqH6a1RBgx87DwWgVO,2018-01-18T22:57:09Z
5hJgjCZol0fmTRoEUGNvK2,2018-01-18T23:04:31Z
1rGqHFnZNmhNHXDG1V53hT,2018-01-18T23:09:28Z
6Tod7K66GZUGReQS8G4KRI,2018-01-19T01:48:27Z
1M6m3xfwinMZQ2ZvpgyoJz,2018-01-19T01:52:42Z
5Jgo5cDlZaz2JlZgHEgbgN,2018-01-19T01:52:49Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-19T01:56:16Z
7l6DilARDQgj7HLgQ9lAN4,2018-01-19T01:56:21Z
4yZf3ui3Jc8dx8MMVZtHWE,2018-01-19T01:56:24Z
62wcTLbFPXnGKdHNYCnax5,2018-01-19T01:56:27Z
2pZ5cBWrBm5zpoLbG3FoQi,2018-01-19T01:56:32Z
77m3LSo4IJmbOgWRg6cwEF,2018-01-19T01:56:56Z
1TGL0zcPzuqwFP60lNsjsm,2018-01-19T15:59:46Z
1D0z0IDhR4O7W5lyViIhLH,2018-01-19T16:48:31Z
0aFyF4NJ3eepbaVjQc3i4g,2018-01-19T16:52:21Z
6dQ5bYDXKAYy7hqDrWwKD8,2018-01-19T16:56:42Z
4rKOTJvLTnTm2XC5o3owGk,2018-01-19T17:02:13Z
7gOidh6WZL5LOnnWdd6Ool,2018-01-19T17:03:14Z
4FE8Z7hRcMJY0Pvj5mmkGC,2018-01-19T17:07:38Z
24hDCOaOL4omtZK2SbOpjt,2018-01-19T17:08:22Z
54ujGZRlMaAMFBel97ebyZ,2018-01-19T17:11:34Z
5badBrcNvFub5If1Mz93uL,2018-01-19T17:21:26Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-19T17:24:56Z
5n3bIbzcNYsWG9DJ6ff2sg,2018-01-19T17:47:01Z
1o9IgnLHbtiEGx3BePavCM,2018-01-19T17:57:19Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-19T18:00:48Z
17vupJrjeDfny9XLt2micF,2018-01-19T18:05:58Z
6UnyyqH6a1RBgx87DwWgVO,2018-01-19T18:08:50Z
2pZ5cBWrBm5zpoLbG3FoQi,2018-01-19T18:11:17Z
54ujGZRlMaAMFBel97ebyZ,2018-01-19T18:14:28Z
48yFrzTcnTCklWL9PRVZJj,2018-01-19T18:18:14Z
7l6DilARDQgj7HLgQ9lAN4,2018-01-19T18:23:10Z
6nFlDEIS4a6KflpLuqavKX,2018-01-19T18:27:18Z
28l6xJuFdnX5NvlvOZtQK9,2018-01-19T18:29:53Z
1TGL0zcPzuqwFP60lNsjsm,2018-01-19T19:48:43Z
5frjjivoxq64JePx9YaGrY,2018-01-19T19:49:40Z
3OMJ65vWq2MMyu7BvcPdoi,2018-01-19T20:00:10Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-19T20:03:37Z
2HCeXi8UG0lTN5T7PvgaGs,2018-01-19T20:11:49Z
1hMEaIun4qgst5mcLxfmjn,2018-01-19T20:12:17Z
1920FDYUrHiTD0AjSvd84n,2018-01-19T20:14:37Z
1JwJaqp21bua8lVuQQIkFt,2018-01-19T20:19:39Z
7dT59IhMoNBtnFt7KLTFVN,2018-01-20T00:13:39Z
3OMJ65vWq2MMyu7BvcPdoi,2018-01-20T00:59:05Z
1TGL0zcPzuqwFP60lNsjsm,2018-01-20T01:03:16Z
1920FDYUrHiTD0AjSvd84n,2018-01-20T01:07:24Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-20T01:10:52Z
3lz2JgAt4cyr04qDlBgTOv,2018-01-20T01:13:27Z
1XRgIKC5TPwo7nWGyKqgG0,2018-01-20T01:15:14Z
7AshCoGdQcLEK5Eqpz3Bvg,2018-01-20T01:19:02Z
75FDPwaULRdYDn4StFN2rT,2018-01-20T16:53:23Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-20T20:11:06Z
22nyEAEM29tcBRhukR089b,2018-01-20T20:14:16Z
1CJBQgltFGmq9xe6FZErUD,2018-01-21T16:29:57Z
1CJBQgltFGmq9xe6FZErUD,2018-01-21T16:30:26Z
1RV94eCJdgpc8g9oFNaUze,2018-01-21T16:34:57Z
5nN8BwAQDJDguq7Dpd3JQQ,2018-01-21T16:38:26Z
40dJ9cVDpLlVZQPFjyZAe0,2018-01-21T16:42:58Z
6sXOOOP43eMqDyma4BlirP,2018-01-21T17:55:54Z
29wVPCj3jwyL0cwuKBF0Zg,2018-01-22T16:12:50Z
67e978D8cffnAWJLmXxoum,2018-01-22T16:14:18Z
29wVPCj3jwyL0cwuKBF0Zg,2018-01-22T16:20:24Z
18Jb6dkdAvXR04Dxcn5ugQ,2018-01-22T16:20:24Z
2nJHf1rDPMtDulPyEPa7D8,2018-01-22T16:20:24Z
3sb6NagmHdUeFIH02QIqrq,2018-01-22T16:24:20Z
3kxfsdsCpFgN412fpnW85Y,2018-01-22T16:28:25Z
3ISSJmu5n98ulX8yjM9ixk,2018-01-22T16:31:30Z
7KeBFM0MZSktLgNXRiPRPW,2018-01-22T16:35:20Z
6DB2KOEwHnjkgEnBt5SdeJ,2018-01-22T16:39:38Z
3Vo4wInECJQuz9BIBMOu8i,2018-01-22T16:41:55Z
5PfERjDUJcxkLzGJf2XYQe,2018-01-22T16:47:17Z
5PfERjDUJcxkLzGJf2XYQe,2018-01-22T18:12:19Z
7o3x5bEi3nrrHQ7LMLJXwi,2018-01-22T18:13:16Z
7o3x5bEi3nrrHQ7LMLJXwi,2018-01-22T18:16:46Z
0BsCU55bWvgDwDbt1iRivZ,2018-01-22T18:19:40Z
7nnMh2ahrGf3yOzOLItvZv,2018-01-22T18:27:34Z
1O4A8pIOy8n5M61xbeikUt,2018-01-22T18:30:55Z
2yjeAemrNqm9b6cXdR9Vnd,2018-01-22T18:34:04Z
0WSEnCxMQ2wcM2GIvqp0jI,2018-01-22T18:37:11Z
1Uys6mv0DO1pBiwuCCdOtc,2018-01-22T18:41:12Z
5uVKEewXVjW1vn30Gaul3i,2018-01-22T18:44:41Z
5fh5zPUpoNdpUHVx7L80oj,2018-01-22T18:48:02Z
17lAnGGRVM8iQWLtOPAv5Q,2018-01-22T22:33:47Z
0crzECUaFwVsvR2Ew6dYpX,2018-01-22T22:39:18Z
2zmCskyNURDGLHZQqsxIrH,2018-01-22T22:40:27Z
7fP3TgKT5YaUzB1Lg9wKyR,2018-01-22T22:44:38Z
2zmCskyNURDGLHZQqsxIrH,2018-01-22T22:50:48Z
08XcFzf2yvq54mI0OZ5nGY,2018-01-22T22:53:18Z
4CvdUVFIbwsAfiOHRIUSvm,2018-01-22T22:57:07Z
46VS3Pp3wiJ9fhFOyhb1Fo,2018-01-22T23:02:57Z
7fJrHtQIpbD41iow81VdUr,2018-01-22T23:06:28Z
6BIOD8y3FiBjjuaDl0H1pb,2018-01-22T23:08:54Z
7cBYPZz6LO556UCucJRl6i,2018-01-22T23:10:27Z
2D7VhaJpzKssEKIwYOQe6h,2018-01-22T23:13:19Z
47JotfPPDlWxP590Y2IMJy,2018-01-22T23:16:40Z
7HejuQEqF9PeLgDLptQAzA,2018-01-22T23:19:53Z
6t8jtLP5v7SN7mm9gLJIQv,2018-01-22T23:24:21Z
1CPW4ykMkZef9frtz1eMTp,2018-01-22T23:25:24Z
66UbEJo0S4qdtTOXeuPnNP,2018-01-22T23:28:38Z
57IJPT0NL2gkoRIESR1eIB,2018-01-22T23:32:13Z
3TVx0NIn0nwtTHMBmepRB3,2018-01-22T23:36:01Z
3WB1jrZNecagZa2bzLvR6T,2018-01-22T23:39:33Z
1GnSXbTTwRTCNQunYsFBls,2018-01-22T23:42:47Z
54ujGZRlMaAMFBel97ebyZ,2018-01-22T23:53:18Z
3sb6NagmHdUeFIH02QIqrq,2018-01-22T23:56:45Z
5badBrcNvFub5If1Mz93uL,2018-01-23T00:01:17Z
5Jgo5cDlZaz2JlZgHEgbgN,2018-01-23T00:04:22Z
1tg4Sm0RY0HMReaI0YmJuM,2018-01-23T00:07:30Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-23T00:16:31Z
2HCeXi8UG0lTN5T7PvgaGs,2018-01-23T00:19:38Z
1GUK48Vm37ng2jwxWjWb4z,2018-01-23T00:21:55Z
6fWSgMR5Xes5rLgH2nZbEv,2018-01-23T00:22:07Z
7EIpn0LGLhU1ROpw0h5ysg,2018-01-23T00:25:23Z
2TZXYdYPRtKpiRBKYJdfhq,2018-01-23T00:28:30Z
7FALlO3ENCni7ExLtCpJ9s,2018-01-23T00:31:32Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-24T03:29:52Z
2HCeXi8UG0lTN5T7PvgaGs,2018-01-24T03:32:57Z
1GUK48Vm37ng2jwxWjWb4z,2018-01-24T03:36:28Z
6UnyyqH6a1RBgx87DwWgVO,2018-01-24T05:14:29Z
6UnyyqH6a1RBgx87DwWgVO,2018-01-24T05:16:36Z
3OMJ65vWq2MMyu7BvcPdoi,2018-01-24T05:21:09Z
5frjjivoxq64JePx9YaGrY,2018-01-24T05:24:57Z
5pAO5mwG9j5LaBPkVQTkok,2018-01-24T05:29:00Z
5hJgjCZol0fmTRoEUGNvK2,2018-01-24T05:32:52Z
2G3RryTapBsq0sPxlYQsb9,2018-01-24T05:36:13Z
4BgGydKTOOrVGaaoo4Rrq8,2018-01-24T17:11:39Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-24T17:15:29Z
2HCeXi8UG0lTN5T7PvgaGs,2018-01-24T17:18:35Z
1GUK48Vm37ng2jwxWjWb4z,2018-01-24T20:04:43Z
1GUK48Vm37ng2jwxWjWb4z,2018-01-24T20:05:12Z
6UnyyqH6a1RBgx87DwWgVO,2018-01-25T20:43:12Z
4ev6N5UAGRE6A0bRk0o7YQ,2018-01-26T04:09:42Z
6LRt8GIBlRPRR3paGEb49h,2018-01-26T23:15:01Z
6LRt8GIBlRPRR3paGEb49h,2018-01-26T23:19:51Z
6x63Pq9QBj7NFq30BXfRl7,2018-01-26T23:49:11Z
09ZoNWyeq9W0ocCy6zN23y,2018-01-26T23:52:39Z
4t4XonNlZFWVF3svwHDC1D,2018-01-26T23:55:30Z
6rRJe9dYSobGq6mY72WkVM,2018-01-26T23:58:31Z
4jk7tkLbNSztxHalu80YPF,2018-01-27T00:01:28Z
3XhF5rhJDKPlnqO1SUGBc9,2018-01-27T00:04:51Z
4ev6N5UAGRE6A0bRk0o7YQ,2018-01-27T01:02:12Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-27T01:08:04Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-27T01:10:45Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-27T01:29:07Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-27T01:31:48Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-27T01:34:28Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-27T01:38:24Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-27T03:44:43Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-27T16:37:14Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-28T00:35:19Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-28T15:18:48Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-28T15:21:31Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-28T19:09:47Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-28T19:49:54Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-28T19:52:34Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-28T19:55:14Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-28T19:57:55Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-29T01:22:43Z
2KLYT0INuXxgozvSRr3hw0,2018-01-30T18:47:41Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-30T18:51:31Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-30T18:54:11Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-30T18:56:52Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-30T18:59:32Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-30T19:02:12Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-30T19:04:53Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-30T19:07:33Z
5cgwvC0weBcBPN4TWHNkEN,2018-01-30T19:10:13Z
